"","UD","prrD","SD","pop","DD","psrD","RD","trs_sos25","trs_sos50","trs_sos75","trs_eos90","trs_eos75","trs_eos50","trs_eos25","maxline","baseline","ampl_sos","ampl_eos","prr","psr","Gslope","Dslope","year","sitename","trs_sos25_mean.x","trs_sos25_mean.y","trs_sos50_mean"
"250",110,131,153,163,232,271,310,122,131,141,229,247,271,288,0.441286493785691,0.146717741487255,0.287509731860913,0.294568752298435,0.00687606585657238,-0.00375821990386722,0.00610641752572722,-0.00167985663651883,2007,"PQG",123,123,133
"251",107,134,160,195,227,269,311,122,134,147,218,243,269,287,0.470882568157486,0.136708755029933,0.334173813127553,0.305305500800128,0.00645360020430101,-0.00362087317185363,0.00369904786994742,-0.00233115343329487,2008,"PQG",123,123,133
"252",107,130,153,200,233,269,304,120,130,141,226,248,269,285,0.466407902751708,0.159065034869288,0.30734286788242,0.289695751168172,0.00676351996820176,-0.00402114693947188,0.00271165854594701,-0.00260310073251423,2009,"PQG",123,123,133
"253",121,143,165,179,239,275,312,134,143,153,216,241,275,291,0.519191520482654,0.158727279448247,0.360464241034407,0.346390350461213,0.00844926868680445,-0.00473132754905024,0.00703848753392979,-0.00194684068466543,2010,"PQG",123,123,133
"254",117,138,160,178,237,269,302,130,138,149,218,247,269,284,0.501744592729289,0.173523157875352,0.32519506282386,0.328221434853937,0.00761214862977333,-0.00495530888004118,0.00587566186018191,-0.00193124031008935,2011,"PQG",123,123,133
"255",107,128,149,163,233,267,301,120,128,138,224,246,267,283,0.495862835268767,0.165783785988666,0.330079049280101,0.329734923221698,0.00808917364590288,-0.00478409973979549,0.0067239169542807,-0.00183952674485665,2012,"PQG",123,123,133
"256",106,130,155,181,227,267,307,120,130,142,228,245,267,285,0.515037153427711,0.161687218738095,0.353349934689616,0.345033734614418,0.00741591565872093,-0.00427288213875778,0.00495815748548254,-0.00261492360304481,2013,"PQG",123,123,133
"257",104,132,160,181,221,262,303,118,132,145,207,236,262,282,0.526363255134268,0.164506445703116,0.361856809431152,0.351597320260277,0.00658038006652829,-0.00423507825399809,0.004806790017939,-0.0023507645366045,2014,"PQG",123,123,133
"258",108,130,152,193,233,269,305,121,130,141,222,245,269,285,0.496704799793255,0.168871722716341,0.327833077076915,0.318621127504782,0.00753345474200765,-0.00439002548926229,0.00370007465900241,-0.00245348323851857,2015,"PQG",123,123,133
"259",105,128,151,189,227,272,317,119,128,139,224,244,272,292,0.494095114114653,0.173533163588103,0.320561950526551,0.313467008001263,0.00710292514653694,-0.00347728312573679,0.003709158861142,-0.00237232255010562,2016,"PQG",123,123,133
