"","Site","lat","lon","date","Year","month","NDVI"
"387","TLG",36.69,102.73,1997-08-08,1997,8,0.6858
"388","TLG",36.69,102.73,1997-08-21,1997,8,0.7748
"389","TLG",36.69,102.73,1997-09-08,1997,9,0.7098
"390","TLG",36.69,102.73,1997-09-21,1997,9,0.5848
"391","TLG",36.69,102.73,1997-10-08,1997,10,0.411
"392","TLG",36.69,102.73,1997-10-21,1997,10,0.4028
"393","TLG",36.69,102.73,1997-11-08,1997,11,0.3538
"394","TLG",36.69,102.73,1997-11-21,1997,11,0.4108
"395","TLG",36.69,102.73,1997-12-08,1997,12,0.2988
"396","TLG",36.69,102.73,1997-12-21,1997,12,0.4048
"397","TLG",36.69,102.73,1998-01-08,1998,1,0.2258
"398","TLG",36.69,102.73,1998-01-21,1998,1,0.3268
"399","TLG",36.69,102.73,1998-02-08,1998,2,0.4138
"400","TLG",36.69,102.73,1998-02-21,1998,2,0.3158
"401","TLG",36.69,102.73,1998-03-08,1998,3,0.3658
"402","TLG",36.69,102.73,1998-03-21,1998,3,0.3268
"403","TLG",36.69,102.73,1998-04-08,1998,4,0.4048
"404","TLG",36.69,102.73,1998-04-21,1998,4,0.4278
"405","TLG",36.69,102.73,1998-05-08,1998,5,0.5208
"406","TLG",36.69,102.73,1998-05-21,1998,5,0.6538
"407","TLG",36.69,102.73,1998-06-08,1998,6,0.7578
"408","TLG",36.69,102.73,1998-06-21,1998,6,0.7588
"409","TLG",36.69,102.73,1998-07-08,1998,7,0.7388
"410","TLG",36.69,102.73,1998-07-21,1998,7,0.7608
"411","TLG",36.69,102.73,1998-08-08,1998,8,0.6068
"412","TLG",36.69,102.73,1998-08-21,1998,8,0.6148
"413","TLG",36.69,102.73,1998-09-08,1998,9,0.6638
"414","TLG",36.69,102.73,1998-09-21,1998,9,0.6598
"415","TLG",36.69,102.73,1998-10-08,1998,10,0.5568
"416","TLG",36.69,102.73,1998-10-21,1998,10,0.4588
"417","TLG",36.69,102.73,1998-11-08,1998,11,0.3918
"418","TLG",36.69,102.73,1998-11-21,1998,11,0.3448
"419","TLG",36.69,102.73,1998-12-08,1998,12,0.3928
"420","TLG",36.69,102.73,1998-12-21,1998,12,0.3478
"421","TLG",36.69,102.73,1999-01-08,1999,1,0.3898
"422","TLG",36.69,102.73,1999-01-21,1999,1,0.3298
"423","TLG",36.69,102.73,1999-02-08,1999,2,0.3058
"424","TLG",36.69,102.73,1999-02-21,1999,2,0.3418
"425","TLG",36.69,102.73,1999-03-08,1999,3,0.4428
"426","TLG",36.69,102.73,1999-03-21,1999,3,0.3858
"427","TLG",36.69,102.73,1999-04-08,1999,4,0.2398
"428","TLG",36.69,102.73,1999-04-21,1999,4,0.4048
"429","TLG",36.69,102.73,1999-05-08,1999,5,0.332
"430","TLG",36.69,102.73,1999-05-21,1999,5,0.5358
"431","TLG",36.69,102.73,1999-06-08,1999,6,0.7768
"432","TLG",36.69,102.73,1999-06-21,1999,6,0.6758
"433","TLG",36.69,102.73,1999-07-08,1999,7,0.5098
"434","TLG",36.69,102.73,1999-07-21,1999,7,0.5908
"435","TLG",36.69,102.73,1999-08-08,1999,8,0.7838
